image,net,correct,size,intersections,unsnapped_nearby
circuit_136.jpg,n2,1,3,1,0
circuit_136.jpg,n1,1,3,1,0
circuit_138.jpg,n4,1,2,5,0
circuit_138.jpg,n3,1,2,0,0
circuit_138.jpg,0,1,3,4,0
circuit_138.jpg,n2,1,3,2,0
circuit_138.jpg,n1,1,2,0,0
circuit_14.jpg,n6,1,2,0,0
circuit_14.jpg,n11,1,3,4,0
circuit_14.jpg,n5,1,5,6,0
circuit_14.jpg,n14,1,2,2,0
circuit_14.jpg,n12,1,3,1,0
circuit_14.jpg,0,1,8,10,0
circuit_14.jpg,n8,1,2,0,0
circuit_14.jpg,n3,1,2,1,0
circuit_14.jpg,n13,1,3,3,0
circuit_14.jpg,n4,1,3,2,0
circuit_14.jpg,n9,1,2,0,0
circuit_14.jpg,n15,1,2,4,0
circuit_14.jpg,n7,1,4,3,0
circuit_14.jpg,n10,1,2,2,0
circuit_14.jpg,n1,1,3,4,0
circuit_14.jpg,n2,1,3,2,0
circuit_153.jpg,n1,0,13,22,0
circuit_153.jpg,0,0,14,14,0
circuit_155.jpg,n5,0,4,3,0
circuit_155.jpg,n7,1,3,2,0
circuit_155.jpg,0,0,6,2,0
circuit_155.jpg,n6,1,4,2,0
circuit_155.jpg,n4,1,6,2,0
circuit_155.jpg,n2,1,4,4,0
circuit_155.jpg,n3,1,3,2,0
circuit_155.jpg,n9,1,2,1,0
circuit_155.jpg,n8,0,2,1,0
circuit_155.jpg,n1,1,2,1,0
circuit_170.jpg,n4,1,2,2,0
circuit_170.jpg,n7,1,2,0,0
circuit_170.jpg,n2,1,3,1,0
circuit_170.jpg,n6,0,2,2,0
circuit_170.jpg,n3,1,3,1,0
circuit_170.jpg,0,0,4,4,0
circuit_170.jpg,n5,0,1,0,0
circuit_170.jpg,n1,1,2,2,0
circuit_178.jpg,n1,0,4,4,0
circuit_178.jpg,n2,0,4,2,0
circuit_178.jpg,0,0,5,10,0
circuit_184.jpg,n1,1,4,3,0
circuit_184.jpg,n3,1,4,3,0
circuit_184.jpg,0,0,10,14,0
circuit_184.jpg,n2,0,5,8,0
circuit_184.jpg,n4,1,2,0,0
circuit_185.jpg,n3,1,2,2,0
circuit_185.jpg,0,1,3,6,0
circuit_185.jpg,n1,1,2,1,0
circuit_185.jpg,n2,1,2,0,0
circuit_187.jpg,0,0,25,34,0
circuit_187.jpg,n1,1,2,0,0
circuit_19.jpg,n5,1,3,1,0
circuit_19.jpg,n3,1,2,0,0
circuit_19.jpg,n4,1,3,2,0
circuit_19.jpg,0,1,4,2,0
circuit_19.jpg,n2,1,2,1,0
circuit_19.jpg,n1,1,3,2,0
circuit_193.jpg,n5,0,12,12,0
circuit_193.jpg,n2,1,3,1,0
circuit_193.jpg,n6,0,5,5,1
circuit_193.jpg,n1,0,4,2,0
circuit_193.jpg,n4,1,2,1,1
circuit_193.jpg,n8,1,4,7,0
circuit_193.jpg,n7,1,3,6,0
circuit_193.jpg,n3,1,3,2,1
circuit_193.jpg,0,1,2,0,0
circuit_198.jpg,n6,0,3,3,0
circuit_198.jpg,n4,0,4,2,0
circuit_198.jpg,n3,1,3,1,0
circuit_198.jpg,n5,0,6,3,0
circuit_198.jpg,0,0,6,4,0
circuit_198.jpg,n7,0,4,3,0
circuit_198.jpg,n2,1,4,2,0
circuit_198.jpg,n8,1,2,1,0
circuit_198.jpg,n9,0,2,0,0
circuit_198.jpg,n1,1,2,0,0
circuit_205.jpg,n8,0,7,13,0
circuit_205.jpg,n7,1,2,3,0
circuit_205.jpg,n1,1,4,3,0
circuit_205.jpg,n3,1,4,1,0
circuit_205.jpg,n2,0,7,8,0
circuit_205.jpg,n4,1,2,1,0
circuit_205.jpg,n5,1,3,1,0
circuit_205.jpg,n6,0,3,1,0
circuit_205.jpg,0,0,2,0,0
circuit_210.jpg,n1,0,4,6,0
circuit_210.jpg,n2,0,7,9,0
circuit_210.jpg,n3,1,4,3,0
circuit_210.jpg,n4,1,2,0,0
circuit_210.jpg,n5,1,3,1,0
circuit_210.jpg,n8,0,7,11,0
circuit_210.jpg,0,0,2,0,0
circuit_210.jpg,n7,1,2,1,0
circuit_210.jpg,n6,0,3,1,0
