image,c_render_ok,c_unrouted_nets,c_bad_pins,c_foreign_intrusions,A_tp_f1,A_net_f1,A_percomp,B_tp_f1,B_net_f1,B_percomp,C_tp_f1,C_net_f1,C_percomp,D_tp_f1,D_net_f1,D_percomp
circuit_1202.jpg,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1203.jpg,1,0,0,0,0.2857142857142857,0.5384615384615384,0.0,0.19047619047619047,0.46153846153846156,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1204.jpg,1,0,0,0,0.896551724137931,0.9230769230769231,0.42857142857142855,0.5185185185185185,0.6153846153846154,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1205.jpg,1,0,0,0,0.4705882352941177,0.6363636363636364,0.16666666666666666,0.4705882352941177,0.6363636363636364,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1209.jpg,1,0,0,0,0.3232323232323232,0.48,0.0,0.3,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1233.jpg,1,0,0,0,0.45045045045045046,0.6666666666666667,0.0,0.6440677966101696,0.8181818181818182,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1239.jpg,1,0,0,0,0.7692307692307692,0.8823529411764706,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1241.jpg,1,0,0,0,0.9380530973451328,0.9545454545454546,0.7,0.9380530973451328,0.9545454545454546,0.7,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1243.jpg,0,1,0,0,0.2929936305732484,0.6206896551724138,0.08333333333333333,0.2948717948717949,0.627906976744186,0.08333333333333333,,,,1.0,1.0,1.0
circuit_1244.jpg,0,2,0,0,0.15492957746478875,0.5116279069767442,0.0,0.2753623188405797,0.6428571428571429,0.16666666666666666,,,,1.0,1.0,1.0
circuit_125.jpg,1,0,0,0,1.0,1.0,1.0,0.5333333333333333,0.7333333333333333,0.125,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1252.jpg,1,0,0,0,0.40816326530612246,0.6597938144329897,0.043478260869565216,0.6174496644295301,0.7835051546391752,0.17391304347826086,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1256.jpg,0,4,0,0,0.0,0.0,0.0,0.08163265306122448,0.360655737704918,0.0,,,,1.0,1.0,1.0
circuit_1258.jpg,1,0,0,0,0.45714285714285713,0.6206896551724138,0.0,0.45714285714285713,0.6206896551724138,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1262.jpg,1,0,0,0,0.5263157894736842,0.6923076923076923,0.2857142857142857,0.5263157894736842,0.6923076923076923,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1268.jpg,1,0,0,0,0.47058823529411764,0.6296296296296297,0.0,0.44117647058823534,0.5925925925925926,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1272.jpg,1,0,0,0,0.4201680672268907,0.5970149253731343,0.0,0.6101694915254237,0.7164179104477613,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
circuit_136.jpg,1,0,0,0,0.0,0.0,0.0,0.5185185185185185,0.6923076923076923,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_138.jpg,1,0,0,0,0.26666666666666666,0.5454545454545454,0.0,0.26666666666666666,0.5454545454545454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_14.jpg,0,1,0,0,0.6666666666666666,0.7628865979381444,0.391304347826087,0.603448275862069,0.8041237113402061,0.2608695652173913,,,,1.0,1.0,1.0
circuit_153.jpg,1,0,0,0,0.3818181818181818,0.425531914893617,0.07142857142857142,0.31932773109243695,0.3829787234042553,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_155.jpg,1,0,0,0,0.7627118644067796,0.8611111111111112,0.2631578947368421,0.6371681415929203,0.7647058823529411,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0
circuit_170.jpg,1,0,0,0,0.7333333333333334,0.7999999999999999,0.2,0.6428571428571429,0.742857142857143,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_178.jpg,1,0,0,0,0.11764705882352942,0.41666666666666663,0.0,0.2285714285714286,0.46153846153846156,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_184.jpg,1,0,0,0,0.0,0.0,0.0,0.2988505747126437,0.5217391304347826,0.0,0.9090909090909091,0.96,0.46153846153846156,1.0,1.0,1.0
